종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1274","5","0.39","67597216960"
"054620","APS","KOSDAQ","금융","8830","-170","-1.89","162420971430"
"265520","AP시스템","KOSDAQ","기계·장비","19960","-890","-4.27","300414387160"
"211270","AP위성","KOSDAQ","전기·전자","16810","-860","-4.87","253533530240"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","5020","1155","29.88","315089832980"
"083790","CG인바이츠","KOSDAQ","일반서비스","1637","99","6.44","125875775934"
"035760","CJ ENM","KOSDAQ","오락·문화","57900","-1400","-2.36","1269698016600"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","8120","-90","-1.10","106091551440"
"051500","CJ프레시웨이","KOSDAQ","유통","30650","-250","-0.81","363864110900"
"058820","CMG제약","KOSDAQ","제약","1814","-64","-3.41","268185719962"
"056730","CNT85","KOSDAQ","건설","456","1","0.22","33794700816"
"065770","CS","KOSDAQ","전기·전자","1215","280","29.95","23584522950"
"083660","CSA 코스믹","KOSDAQ","화학","281","9","3.31","17655077979"
"477760","DB금융스팩12호","KOSDAQ","금융","2230","0","0.00","13023200000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2430","-110","-4.33","38452925070"
"025440","DH오토웨어","KOSDAQ","전기·전자","816","20","2.51","39805478784"
"068790","DMS","KOSDAQ","기계·장비","7700","-170","-2.16","173790724800"
"241520","DSC인베스트먼트","KOSDAQ","금융","13870","-1090","-7.29","374490000000"
"180400","DXVX","KOSDAQ","일반서비스","5090","385","8.18","501005808880"
"418620","E8","KOSDAQ","IT 서비스","1292","-48","-3.58","25646816284"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","5010","-60","-1.18","43211109720"
"050120","ES큐브","KOSDAQ","유통","2390","-40","-1.65","32418165540"
"214270","FSN","KOSDAQ","IT 서비스","2425","60","2.54","105950575575"
"130500","GH신소재","KOSDAQ","섬유·의류","2475","5","0.20","35999003700"
"900290","GRT","KOSDAQ","금융","5400","-30","-0.55","436590000000"
"083450","GST","KOSDAQ","기계·장비","25500","-1550","-5.73","469965000000"
"297890","HB솔루션","KOSDAQ","기계·장비","1932","-58","-2.91","141308245848"
"440290","HB인베스트먼트","KOSDAQ","금융","2100","5","0.24","57763503000"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2100","-100","-4.55","194703423600"
"225530","HC보광산업","KOSDAQ","비금속","4100","-160","-3.76","148988780700"
"060560","HC홈센타","KOSDAQ","유통","809","38","4.93","102694466472"
"376270","HEM파마","KOSDAQ","일반서비스","77600","-400","-0.51","557648111200"
"195940","HK이노엔","KOSDAQ","제약","50300","-2800","-5.27","1424993517300"
"028300","HLB","KOSDAQ","제약","53500","200","0.38","7121786464000"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1259","-35","-2.70","109736937856"
"067630","HLB생명과학","KOSDAQ","제약","3930","-70","-1.75","479134037940"
"024850","HLB이노베이션","KOSDAQ","전기·전자","4680","-155","-3.21","692853791760"
"187420","HLB제넥스","KOSDAQ","제약","2640","-40","-1.49","77547909120"
"047920","HLB제약","KOSDAQ","일반서비스","16680","430","2.65","547093258080"
"115450","HLB테라퓨틱스","KOSDAQ","유통","3035","-35","-1.14","256100168205"
"046210","HLB파나진","KOSDAQ","제약","2480","-170","-6.42","112767221920"
"196300","HLB펩","KOSDAQ","제약","7260","50","0.69","67470069480"
"403870","HPSP","KOSDAQ","기계·장비","42900","-2250","-4.98","3530670000000"
"036640","HRS","KOSDAQ","화학","5060","-10","-0.20","82755288000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2180","-10","-0.46","9221400000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2185","0","0.00","9242550000"
"0099X0","IBKS제25호스팩","KOSDAQ","금융","2165","-10","-0.46","12946700000"
"095340","ISC","KOSDAQ","유통","247500","-2500","-1.00","5246271855000"
"950170","JTC","KOSDAQ","유통","4930","-160","-3.14","255109495640"
"067290","JW신약","KOSDAQ","제약","1962","-38","-1.90","109944796086"
"035900","JYP Ent.","KOSDAQ","오락·문화","62100","-2200","-3.42","2206567753200"
"318000","KBG","KOSDAQ","화학","4290","-70","-1.61","37495556670"
"024840","KBI메탈","KOSDAQ","금속","2090","-70","-3.24","72960225910"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3775","15","0.40","43412500000"
"464680","KB제27호스팩","KOSDAQ","금융","2085","5","0.24","26906925000"
