종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","5150","-50","-0.96","233051708850"
"006840","AK홀딩스","KOSPI","기타금융","8480","290","3.54","112339317280"
"027410","BGF","KOSPI","기타금융","4695","215","4.80","449390333745"
"282330","BGF리테일","KOSPI","유통","138700","8400","6.45","2397277762200"
"138930","BNK금융지주","KOSPI","기타금융","18250","-430","-2.30","5663468352250"
"001460","BYC","KOSPI","섬유·의류","48950","-2550","-4.95","305749042500"
"001465","BYC우","KOSPI","섬유·의류","29450","0","0.00","63430882500"
"001040","CJ","KOSPI","기타금융","198600","-7900","-3.83","5794551802800"
"079160","CJ CGV","KOSPI","오락·문화","4615","-150","-3.15","764162619090"
"00104K","CJ4우(전환)","KOSPI","기타금융","176000","-5000","-2.76","743866112000"
"000120","CJ대한통운","KOSPI","운송·창고","105300","-2900","-2.68","2402139823200"
"011150","CJ씨푸드","KOSPI","음식료·담배","2680","-40","-1.47","96294471640"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","12380","-240","-1.90","2476000000"
"001045","CJ우","KOSPI","기타금융","86600","-4200","-4.63","195735311800"
"097950","CJ제일제당","KOSPI","음식료·담배","217500","3000","1.40","3274285455000"
"097955","CJ제일제당 우","KOSPI","음식료·담배","130000","-100","-0.08","172566290000"
"000480","CR홀딩스","KOSPI","비금속","4840","-95","-1.93","226949971600"
"000590","CS홀딩스","KOSPI","기타금융","75700","-2200","-2.82","87394287400"
"012030","DB","KOSPI","IT 서비스","1645","-62","-3.63","330931119785"
"005830","DB손해보험","KOSPI","보험","164200","-8700","-5.03","11392852800000"
"016610","DB증권","KOSPI","증권","12540","-1010","-7.45","532277718060"
"000990","DB하이텍","KOSPI","전기·전자","80800","-3000","-3.58","3515170710400"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","21000","500","2.44","414314880000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","62500","-100","-0.16","1309742750000"
"000215","DL우","KOSPI","화학","27450","-550","-1.96","46283856750"
"375500","DL이앤씨","KOSPI","건설","69200","3400","5.17","2677598711600"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","44500","1350","3.13","93981819500"
"37550K","DL이앤씨우","KOSPI","건설","29200","650","2.28","61725442000"
"007340","DN오토모티브","KOSPI","전기·전자","37950","-2800","-6.87","2220487326750"
"004840","DRB동일","KOSPI","화학","5170","-250","-4.61","103038100000"
"155660","DSR","KOSPI","금속","4185","-35","-0.83","66960000000"
"069730","DSR제강","KOSPI","금속","4935","155","3.24","71064000000"
"017860","DS단석","KOSPI","화학","20300","800","4.10","356959503600"
"092780","DYP","KOSPI","운송장비·부품","4330","-145","-3.24","57019431800"
"017940","E1","KOSPI","유통","101700","200","0.20","697662000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","4355","20","0.46","1071717595000"
"383220","F&F","KOSPI","섬유·의류","63400","-1600","-2.46","2428668555000"
"007700","F&F홀딩스","KOSPI","기타금융","18530","-610","-3.19","724789220510"
"114090","GKL","KOSPI","오락·문화","11520","-360","-3.03","712577318400"
"078930","GS","KOSPI","기타금융","65900","-2000","-2.95","6123123410200"
"006360","GS건설","KOSPI","건설","25850","-500","-1.90","2212281516500"
"001250","GS글로벌","KOSPI","유통","2570","-15","-0.58","212111773480"
"007070","GS리테일","KOSPI","유통","22100","850","4.00","1847723871500"
"078935","GS우","KOSPI","기타금융","52600","-400","-0.75","93881847600"
"499790","GS피앤엘","KOSPI","기타금융","43550","-4450","-9.27","863633125550"
